trans_id,lang,translation
高江中央１丁目,ko,다카에추오잇초메
高江中央１丁目,zh-cn,高江中央１丁目
高江中央１丁目,zh-tw,高江中央１丁目
大道小学校前,ja,大道小学校前
大道小学校前,ja-Hrkt,おおみちしょうがっこうまえ
三佐小入口,ja,三佐小入口
三佐小入口,ja-Hrkt,みさしょうがっこういりぐち
上野ヶ丘中学校前,ja,上野ヶ丘中学校前
上野ヶ丘中学校前,ja-Hrkt,うえのがおかちゅうがっこうえ
上野ヶ丘中学校前,en,Uenogaoka Chugakko Mae
上野ヶ丘中学校前,ko,우에노가오카추갓코마에
上野ヶ丘中学校前,zh-cn,上野丘中学校前
上野ヶ丘中学校前,zh-tw,上野丘中學校前
梅が丘一丁目,ja,梅が丘一丁目
梅が丘一丁目,ja-Hrkt,うめがおかいっちょうめ
梅が丘一丁目,en,Umegaoka 1 Chome
梅が丘一丁目,ko,우메가오카잇초메
梅が丘一丁目,zh-cn,梅丘一丁目
梅が丘一丁目,zh-tw,梅丘一丁目
内町入口,en,Uchimachi Iriguchi
内町入口,ko,우치마치이리구치
内町入口,zh-cn,内町入口
内町入口,zh-tw,內町入口
柚の原,ja,柚の原
柚の原,ja-Hrkt,ゆのはる
柚の原,en,Yunoharu
柚の原,ko,유노하루
柚の原,zh-cn,柚之原
柚の原,zh-tw,柚之原
陽光台東,ja,陽光台東
陽光台東,ja-Hrkt,ようこうだいひがし
金山,ja,金山
金山,ja-Hrkt,かなやま
金山,en,Kanayama
金山,ko,가나야마
金山,zh-cn,金山
金山,zh-tw,金山
津井入口,ja,津井入口
津井入口,ja-Hrkt,ついいりぐち
津井入口,en,Tsui Iriguchi
津井入口,ko,쓰이이리구치
津井入口,zh-cn,津井入口
津井入口,zh-tw,津井入口
小野鶴西,ja,小野鶴西
小野鶴西,ja-Hrkt,おのづるにし
小野鶴西,en,Onozuru Nishi
小野鶴西,ko,오노즈루니시
小野鶴西,zh-cn,小野鹤西
小野鶴西,zh-tw,小野鶴西
北方入口,ja,北方入口
北方入口,ja-Hrkt,きたがたいりぐち
常行,ja,常行
常行,ja-Hrkt,つねゆき
椎迫入口,ja,椎迫入口
椎迫入口,ja-Hrkt,しいざこいりぐち
椎迫入口,en,Shiizako Iriguchi
椎迫入口,ko,시자코이리구치
椎迫入口,zh-cn,椎迫入口
椎迫入口,zh-tw,椎迫入口
田吹橋,ja,田吹橋
田吹橋,ja-Hrkt,たぶきばし
田吹橋,en,Tabukibashi
田吹橋,ko,다부키바시
田吹橋,zh-cn,田吹桥
田吹橋,zh-tw,田吹橋
昆布刈橋,ja,昆布刈橋
昆布刈橋,ja-Hrkt,こぶかりばし
昆布刈橋,en,Kobukaribashi
昆布刈橋,ko,고부카리바시
昆布刈橋,zh-cn,昆布刈桥
昆布刈橋,zh-tw,昆布刈橋
城南団地入口,ja,城南団地入口
城南団地入口,ja-Hrkt,じょうなんだんちいりぐち
木の瀬,ja,木の瀬
木の瀬,ja-Hrkt,きのせ
明野東口,ja,明野東口
明野東口,ja-Hrkt,あけのひがしぐち
明野東口,en,Akeno Higashiguchi
明野東口,ko,아케노히가시구치
明野東口,zh-cn,明野东口
明野東口,zh-tw,明野東口
寒田団地南口,ja,寒田団地南口
寒田団地南口,ja-Hrkt,そうだだんちみなみぐち
寒田団地南口,en,Soda Danchi Minamiguchi
寒田団地南口,ko,소다단치미나미구치
寒田団地南口,zh-cn,寒田团地南口
寒田団地南口,zh-tw,寒田團地南口
小学校前,ja,小学校前
小学校前,ja-Hrkt,しょうがっこうまえ
田中南,ja,田中南
田中南,ja-Hrkt,たなかみなみ
三愛メディカルセンター,ja,三愛メディカルセンター
三愛メディカルセンター,ja-Hrkt,さんあいめでぃかるせんたー
三愛メディカルセンター,en,San-ai Medical Center
三愛メディカルセンター,ko,산아이메디컬센터
三愛メディカルセンター,zh-cn,三爱医疗中心
三愛メディカルセンター,zh-tw,三愛醫療中心
西寺,ja,西寺
西寺,ja-Hrkt,さいじ
西寺,en,Saiji
西寺,ko,사이지
西寺,zh-cn,西寺
西寺,zh-tw,西寺
高江中央公園前,ja,高江中央公園前
高江中央公園前,ja-Hrkt,たかえちゅうおうこうえんまえ
高江中央公園前,en,Takae Chuo Koen Mae
高江中央公園前,ko,다카에추오코엔마에
高江中央公園前,zh-cn,高江中央公园前
高江中央公園前,zh-tw,高江中央公園前
萌葱台,ja,萌葱台
萌葱台,ja-Hrkt,もえぎだい
萌葱台,en,Moegidai
萌葱台,ko,모에기다이
萌葱台,zh-cn,萌葱台
萌葱台,zh-tw,萌蔥台
宮の内,ja,宮の内
宮の内,ja-Hrkt,みやのうち
有田下,ja,有田下
有田下,ja-Hrkt,ありたした
有田下,en,Arita Shita
有田下,ko,아리타시타
有田下,zh-cn,有田下
有田下,zh-tw,有田下
浪太,ja,浪太
浪太,ja-Hrkt,なぶと
浪太,en,Nabuto
浪太,ko,나부토
浪太,zh-cn,浪太
浪太,zh-tw,浪太
下角,ja,下角
下角,ja-Hrkt,しもかど
高畑,ja,高畑
高畑,ja-Hrkt,たかばたけ
中山,ja,中山
中山,ja-Hrkt,なかやま
稙田小学校前,ja,稙田小学校前
