trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:16:00,12:16:00,5036 2,6,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:17:00,12:17:00,5035 2,7,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:18:00,12:18:00,5121 2,8,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:19:00,12:19:00,5122 2,9,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:20:00,12:20:00,5123 2,10,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:20:00,12:20:00,5124 2,11,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:21:00,12:21:00,5125 2,12,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:22:00,12:22:00,5126 2,13,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:23:00,12:23:00,5127 2,14,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:24:00,12:24:00,5128 2,15,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:25:00,12:25:00,5129 2,16,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:25:00,12:25:00,5130 2,17,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:25:00,12:25:00,5131 9,18,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:26:00,12:26:00,5132 9,19,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:27:00,12:27:00,5133 9,20,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:28:00,12:28:00,5134 9,21,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:28:00,12:28:00,5135 9,22,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:29:00,12:29:00,5136 9,23,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:29:00,12:29:00,5137 9,24,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:30:00,12:30:00,5138 9,25,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:31:00,12:31:00,5139 9,26,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:31:00,12:31:00,5140 9,27,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:34:00,12:34:00,5141 9,28,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:36:00,12:36:00,5142 2,29,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:37:00,12:37:00,5143 2,30,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:38:00,12:38:00,5144 2,31,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:38:00,12:38:00,5145 2,32,黒島入口,1,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:29:00,09:29:00,5198 2,1,臼杵市役所,0,1,,
58643686-2fee-4f96-88a6-159ac617ce72,09:30:00,09:30:00,5197 9,2,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:31:00,09:31:00,5196 9,3,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:32:00,09:32:00,5195 9,4,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:33:00,09:33:00,5194 9,5,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:34:00,09:34:00,5193 9,6,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:35:00,09:35:00,5199 9,7,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:37:00,09:37:00,5192 9,8,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:39:00,09:39:00,5191 9,9,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:40:00,09:40:00,5190 9,10,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:41:00,09:41:00,5189 9,11,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:42:00,09:42:00,5188 9,12,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:43:00,09:43:00,5187 9,13,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:45:00,09:45:00,5185 9,14,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:46:00,09:46:00,5186 9,15,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:47:00,09:47:00,5184 9,16,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:48:00,09:48:00,5183 9,17,臼杵市役所,0,0,,
