service_id,date,exception_type
平日（月～金）,20260814,2
日曜・祝日,20260814,2
土曜,20260815,1
平日（月～金）,20260815,2
日曜・祝日,20260815,2
土曜,20260816,1
平日（月～金）,20260816,2
日曜・祝日,20260816,2
土曜,20260822,1
平日（月～金）,20260822,2
日曜・祝日,20260822,2
土曜,20260823,1
平日（月～金）,20260823,2
日曜・祝日,20260823,2
土曜,20260829,1
平日（月～金）,20260829,2
日曜・祝日,20260829,2
土曜,20260830,1
平日（月～金）,20260830,2
日曜・祝日,20260830,2
土曜,20260905,1
平日（月～金）,20260905,2
日曜・祝日,20260905,2
土曜,20260906,1
平日（月～金）,20260906,2
日曜・祝日,20260906,2
土曜,20260912,1
平日（月～金）,20260912,2
日曜・祝日,20260912,2
土曜,20260913,1
平日（月～金）,20260913,2
日曜・祝日,20260913,2
土曜,20260919,1
平日（月～金）,20260919,2
日曜・祝日,20260919,2
土曜,20260920,1
平日（月～金）,20260920,2
日曜・祝日,20260920,2
土曜,20260921,1
平日（月～金）,20260921,2
日曜・祝日,20260921,2
土曜,20260922,1
平日（月～金）,20260922,2
日曜・祝日,20260922,2
土曜,20260923,1
平日（月～金）,20260923,2
日曜・祝日,20260923,2
土曜,20260926,1
平日（月～金）,20260926,2
日曜・祝日,20260926,2
土曜,20260927,1
平日（月～金）,20260927,2
日曜・祝日,20260927,2
土曜,20261003,1
平日（月～金）,20261003,2
日曜・祝日,20261003,2
土曜,20261004,1
平日（月～金）,20261004,2
日曜・祝日,20261004,2
土曜,20261010,1
平日（月～金）,20261010,2
日曜・祝日,20261010,2
土曜,20261011,1
平日（月～金）,20261011,2
日曜・祝日,20261011,2
土曜,20261012,1
平日（月～金）,20261012,2
日曜・祝日,20261012,2
土曜,20261017,1
平日（月～金）,20261017,2
日曜・祝日,20261017,2
土曜,20261018,1
平日（月～金）,20261018,2
日曜・祝日,20261018,2
土曜,20261024,1
平日（月～金）,20261024,2
日曜・祝日,20261024,2
土曜,20261025,1
平日（月～金）,20261025,2
日曜・祝日,20261025,2
土曜,20261031,1
平日（月～金）,20261031,2
日曜・祝日,20261031,2
土曜,20261101,1
平日（月～金）,20261101,2
日曜・祝日,20261101,2
土曜,20261103,1
平日（月～金）,20261103,2
日曜・祝日,20261103,2
土曜,20261107,1
平日（月～金）,20261107,2
日曜・祝日,20261107,2
土曜,20261108,1
平日（月～金）,20261108,2
日曜・祝日,20261108,2
土曜,20261114,1
平日（月～金）,20261114,2
日曜・祝日,20261114,2
土曜,20261115,1
平日（月～金）,20261115,2
日曜・祝日,20261115,2
土曜,20261121,1
平日（月～金）,20261121,2
日曜・祝日,20261121,2
土曜,20261122,1
平日（月～金）,20261122,2
日曜・祝日,20261122,2
土曜,20261123,1
平日（月～金）,20261123,2
日曜・祝日,20261123,2
土曜,20261128,1
平日（月～金）,20261128,2
日曜・祝日,20261128,2
土曜,20261129,1
平日（月～金）,20261129,2
日曜・祝日,20261129,2
土曜,20261205,1
平日（月～金）,20261205,2
日曜・祝日,20261205,2
土曜,20261206,1
平日（月～金）,20261206,2
日曜・祝日,20261206,2
土曜,20261212,1
平日（月～金）,20261212,2
日曜・祝日,20261212,2
土曜,20261213,1
平日（月～金）,20261213,2
日曜・祝日,20261213,2
土曜,20261219,1
平日（月～金）,20261219,2
日曜・祝日,20261219,2
土曜,20261220,1
平日（月～金）,20261220,2
