route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17 9,1_土曜(共通),565233bb-8ede-4d38-bad7-639407675f27,,,,,17 9,0,0
1 1,1_平日(共通),9f958354-2322-4387-ad78-6602bac19300,,,,,1 1,0,0
23 0,1_平日(共通),f47b5785-f646-4d3d-b438-6c2e03f65bb2,,,,,23 0,0,0
42 0,1_平日(共通),144032de-2caf-435a-8f2c-6c4c39ddcbf9,,,,,42 0,0,0
2 9,1_土曜(共通),39efe3d9-feec-4c63-9e2b-6c9d4515865d,,,,,2 9,0,0
3 2,1_平日(共通),4d61fc31-ed73-4b57-9d92-6f161bf9e8db,,,,,3 2,0,0
3 2,1_日祝(共通),572f98b5-83aa-4145-a71c-72dec5477906,,,,,3 2,0,0
1 1,1_土曜(共通),89cc55e5-b1bb-43f4-9665-7324b933031b,,,,,1 1,0,0
2 2,1_日祝(共通),d63c618f-a438-432b-bef4-734ea809c13f,,,,,2 2,0,0
2 2,1_日祝(共通),f2717198-6953-4ae4-8fc0-740ad2dc0221,,,,,2 2,0,0
1 1,1_平日(共通),d44ab7e7-af10-4f44-b842-749ac72be02b,,,,,1 1,0,0
1 2,1_日祝(共通),147de220-f932-46cd-99d6-761b63cc5c87,,,,,1 2,0,0
3 1,1_日祝(共通),34a41025-b428-4427-a788-7894bab532d7,,,,,3 1,0,0
21 0,1_日祝(共通),7a060d20-49f2-433b-8ede-794ddf60bdef,,,,,21 0,0,0
41 9,1_平日(共通),6e858bc1-3b35-4733-a459-79e5e8136923,,,,,41 9,0,0
17 9,1_土曜(共通),01df3811-6091-42b3-969b-7cfddd593083,,,,,17 9,0,0
43 0,1_平日(共通),d1877bf9-907d-4b43-9617-8015c4ce7781,,,,,43 0,0,0
3 2,1_土曜(共通),dd444853-2f98-4ee9-8c88-81dd329f222f,,,,,3 2,0,0
15 0,1_平日(共通),5a8af8a3-da08-47cb-834e-83d48e3cb47e,,,,,15 0,0,0
20 0,1_平日(共通),e0159ab1-c997-48fe-9e2c-847a1ab01db8,,,,,20 0,0,0
17 9,1_平日(共通),41f1086b-3913-4c01-bf82-86533cd0bf2b,,,,,17 9,0,0
10 9,1_平日(共通),0b5d81a8-0bae-413d-abb9-8827c7bc39e4,,,,,10 9,0,0
22 9,1_土曜(共通),08af3019-6745-42d6-aeeb-882f9352e90b,,,,,22 9,0,0
3 1,1_日祝(共通),c0a5a216-900d-4600-85b4-8887777360b9,,,,,3 1,0,0
1 1,1_日祝(共通),f8c8b629-bfd2-48ac-b633-8a641f6b62de,,,,,1 1,0,0
22 9,1_土曜(共通),96b3e62f-ff81-434a-9f43-8ba37b2bea80,,,,,22 9,0,0
23 0,1_平日(共通),40f766a1-053c-4e03-98d1-90e40569b3c6,,,,,23 0,0,0
20 0,1_土曜(共通),cc060785-e9f1-45f8-84e2-91e956469003,,,,,20 0,0,0
10 9,1_平日(共通),c8002160-234a-4d6e-98d2-9510a569efca,,,,,10 9,0,0
20 0,1_日祝(共通),51b3568b-19b2-478c-a82c-96632f66367e,,,,,20 0,0,0
6 0,1_平日(共通),ea026bfa-52f9-45ea-aae9-971ffb86c4fc,,,,,6 0,0,0
20 0,1_土曜(共通),8aba36ee-bdaa-4d10-ba7c-97c82466e781,,,,,20 0,0,0
2 1,1_平日(共通),05a539f1-2b4f-446f-a8f9-98109f2357fc,,,,,2 1,0,0
2 2,1_平日(共通),c9ce282a-a73a-4b70-adf7-9893e5f87ff0,,,,,2 2,0,0
1 2,1_平日(共通),f5e2f852-ffef-4b53-9b80-996f7f8bf9ed,,,,,1 2,0,0
3 1,1_平日(共通),12df1ba4-9796-4dee-bf8f-9981c904773d,,,,,3 1,0,0
22 9,1_平日(共通),00a1f7a5-2616-4bf2-9e9f-9dc7092318cb,,,,,22 9,0,0
1 2,1_平日(共通),71d93093-84fe-48ba-8f47-9e12ad6425da,,,,,1 2,0,0
2 9,1_日祝(共通),fa59a17f-b4f0-4e3d-a874-9f0ba4540f7b,,,,,2 9,0,0
1 1,1_平日(共通),97d400f3-5abe-4fe2-a4c9-9f46f0d99d8b,,,,,1 1,0,0
3 1,1_平日(共通),16790128-9ddb-4080-beb8-9f4e0e6531ed,,,,,3 1,0,0
6 0,1_日祝(共通),ab657766-4f49-4fb1-93f7-a11fc8bbbd02,,,,,6 0,0,0
1 2,1_土曜(共通),3b318c62-4a5e-4edd-9358-a279d7785471,,,,,1 2,0,0
13 0,1_土曜(共通),501e567c-b0ce-4f97-a86e-a3dce0e694df,,,,,13 0,0,0
3 2,1_土曜(共通),31c70532-f45f-40a3-87e3-a5ee05a5d793,,,,,3 2,0,0
6 0,1_土曜(共通),17f87210-e3f7-4279-9158-aa4a7e06d51a,,,,,6 0,0,0
34 9,1_日祝(共通),13735bb3-f0a8-4875-9850-ab52510731c1,,,,,34 9,0,0
2 2,1_土曜(共通),f113ce7c-e7a5-4ba2-8ef8-ad0f83c90e5e,,,,,2 2,0,0
44 9,1_日祝(共通),49bf5aef-3ad5-4f7e-bf93-ae79df93770c,,,,,44 9,0,0
17 9,1_土曜(共通),52c856a0-998f-421a-8867-af34ff412fd7,,,,,17 9,0,0
8 0,1_平日(共通),f064ea53-066d-4eb0-b2c9-b0c5bf995a8d,,,,,8 0,0,0
1 1,1_平日(共通),087947f6-34aa-4af0-a550-b260403c708a,,,,,1 1,0,0
9 9,1_平日(共通),dab0d87d-57e2-4e17-93b7-b2859b3e0805,,,,,9 9,0,0
3 1,1_日祝(共通),db3390c6-a69c-4ec5-b806-b295837a8972,,,,,3 1,0,0
46 0,b84f6847-2377-4c60-abe1-b35fb6cf458f,b84f6847-2377-4c60-abe1-b35fb6cf458f,,,,,46 0,0,0
20 0,1_平日(共通),1023b189-f099-4957-926b-b60d9ccbd19c,,,,,20 0,0,0
20 0,1_土曜(共通),460bccba-0ac0-43ff-a0ae-b9a4a0d12677,,,,,20 0,0,0
1 1,1_日祝(共通),6435d88c-c5ab-4dc5-8fb4-bb17e7fb3b04,,,,,1 1,0,0
