id,name_ja,category,lat,lon
T026マッテルモン,観光地,33.2746628450158,131.5845111984846
T027,鬼石坊主地獄,観光地,33.337787702587676,131.47052804195653
T028,貴船城,観光地,33.348112873387464,131.4856342434241
T029,坊主地獄,観光地,33.33664038581995,131.46091500465897
T030,ふないアクアパーク,観光地,33.26203239136477,131.61335031037726
T031,大分市アートプラザ,観光地,33.240750560224335,131.60971671603755
T032,ジャングル公園,観光地,33.271218357005075,131.60511056412219
T033,グローバルタワー,観光地,33.313690877167616,131.4897541165516
T034,明礬地獄,観光地,33.34696569264484,131.45679513153146
T035,「遊星散歩」安藤泉,観光地,33.248251631477785,131.60099069099468
