stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1570 1,,大波羅前,,33.3213241,130.9372301,1570 1,,0,,,,
1571 1,,中央通り,,33.3185271,130.9365886,1571 1,,0,,,,
1571 2,,中央通り,,33.3184733,130.9364558,1571 2,,0,,,,
1572 0,,日田バスターミナル,,33.3162438,130.9380433,1572 0,,0,,,,
1572 1,,日田バスターミナル,,33.3162438,130.9380433,1572 1,,0,,,,
1752 1,,東九州短大前,,33.5889597,131.2038999,1752 1,,0,,,,
1753 1,,沖代町,,33.5865467,131.203256,1753 1,,0,,,,
1753 2,,沖代町,,33.5865132,131.203146,1753 2,,0,,,,
1754 1,,金手,,33.5846876,131.2043056,1754 1,,0,,,,
1754 2,,金手,,33.5846295,131.2041205,1754 2,,0,,,,
1755 1,,園田,,33.5792084,131.206683,1755 1,,0,,,,
1755 2,,園田,,33.5791838,131.206455,1755 2,,0,,,,
1756 1,,古城の坂,,33.5760862,131.207844,1756 1,,0,,,,
1756 2,,古城の坂,,33.5760236,131.207785,1756 2,,0,,,,
1757 1,,久上,,33.5752323,131.2104132,1757 1,,0,,,,
1757 2,,久上,,33.5751368,131.2103575,1757 2,,0,,,,
1758 1,,八幡前,,33.5715547,131.2138047,1758 1,,0,,,,
1758 2,,八幡前,,33.5715469,131.2136397,1758 2,,0,,,,
1759 1,,三光中学校入口,,33.5452639,131.2005522,1759 1,,0,,,,
1759 2,,三光中学校入口,,33.5452684,131.2003993,1759 2,,0,,,,
1760 1,,上諫山,,33.5407848,131.1984755,1760 1,,0,,,,
1760 2,,上諫山,,33.5408698,131.1983682,1760 2,,0,,,,
1761 1,,下小袋入口,,33.5359779,131.1891183,1761 1,,0,,,,
1761 2,,下小袋入口,,33.536036,131.1890217,1761 2,,0,,,,
1762 1,,真坂,,33.5343736,131.1851436,1762 1,,0,,,,
1762 2,,真坂,,33.5344496,131.1849639,1762 2,,0,,,,
1763 1,,中津児童相談所前,,33.5920052,131.1935328,1763 1,,0,,,,
1763 2,,中津児童相談所前,,33.591917,131.1934872,1763 2,,0,,,,
1764 1,,中津北高前,,33.5893621,131.1929296,1764 1,,0,,,,
1765 1,,中央町,,33.5883616,131.1928596,1765 1,,0,,,,
1765 2,,中央町,,33.5882756,131.192818,1765 2,,0,,,,
1766 1,,沖代町二丁目,,33.5870112,131.1977632,1766 1,,0,,,,
1767 1,,沖代町一丁目,,33.5857163,131.2022085,1767 1,,0,,,,
1767 2,,沖代町一丁目,,33.5856158,131.2021924,1767 2,,0,,,,
1773 1,,大坪,,33.3930253,131.0315721,1773 1,,0,,,,
1773 2,,大坪,,33.3931417,131.0314755,1773 2,,0,,,,
1774 1,,上志川,,33.3868896,131.0282762,1774 1,,0,,,,
1774 2,,上志川,,33.3869433,131.0281716,1774 2,,0,,,,
1775 1,,田の平,,33.379593,131.026184,1775 1,,0,,,,
1776 1,,大石峠,,33.3741448,131.0261209,1776 1,,0,,,,
1776 2,,大石峠,,33.3741986,131.0258795,1776 2,,0,,,,
1777 1,,小河内,,33.3679676,131.0093424,1777 1,,0,,,,
1777 2,,小河内,,33.3680572,131.0091761,1777 2,,0,,,,
1778 1,,下小河内,,33.3668564,131.0014812,1778 1,,0,,,,
1779 1,,山の口,,33.366566,130.988388,1779 1,,0,,,,
1779 2,,山の口,,33.3667161,130.988396,1779 2,,0,,,,
1780 1,,上一の瀬,,33.3669548,130.9823079,1780 1,,0,,,,
1780 2,,上一の瀬,,33.3670668,130.9823052,1780 2,,0,,,,
1781 1,,下一の瀬,,33.3663105,130.9765209,1781 1,,0,,,,
1781 2,,下一の瀬,,33.3664292,130.9765061,1781 2,,0,,,,
1821 1,,花房橋,,33.4054197,131.0356786,1821 1,,0,,,,
1821 2,,花房橋,,33.4054533,131.0355338,1821 2,,0,,,,
1823 1,,秋原入口,,33.3659194,130.9655121,1823 1,,0,,,,
1823 2,,秋原入口,,33.3659933,130.9655523,1823 2,,0,,,,
1824 1,,戸山中学校前,,33.3622437,130.9592089,1824 1,,0,,,,
1824 2,,戸山中学校前,,33.3622571,130.9590909,1824 2,,0,,,,
1825 1,,財津口,,33.3556262,130.955915,1825 1,,0,,,,
1825 2,,財津口,,33.3556676,130.9557903,1825 2,,0,,,,
1826 1,,三和団地,,33.3482677,130.9436616,1826 1,,0,,,,
1826 2,,三和団地,,33.348326,130.9435543,1826 2,,0,,,,
1827 1,,新天神町,,33.3399036,130.9417137,1827 1,,0,,,,
1827 2,,新天神町,,33.339917,130.9415903,1827 2,,0,,,,
1846 1,,北原入口,,33.5777766,131.2379145,1846 1,,0,,,,
1846 2,,北原入口,,33.5778772,131.2380325,1846 2,,0,,,,
1849 1,,乙女郵便局前,,33.5634971,131.3242478,1849 1,,0,,,,
1851 1,,渋見,,33.5116132,131.1768662,1851 1,,0,,,,
1851 2,,渋見,,33.5115864,131.1767214,1851 2,,0,,,,
1889 1,,新栄住宅前,,33.5704907,131.4462263,1889 1,,0,,,,
1889 2,,新栄住宅前,,33.5705136,131.4463101,1889 2,,0,,,,
1893 1,,柳ヶ浦駅前,,33.5654613,131.3625125,1893 1,,0,,,,
1893 2,,柳ヶ浦駅前,,33.5655853,131.3624414,1893 2,,0,,,,
1895 1,,財津南,,33.3518767,130.9498159,1895 1,,0,,,,
1895 2,,財津南,,33.3519775,130.949773,1895 2,,0,,,,
1905 1,,上高家住宅前,,33.5653661,131.3176767,1905 1,,0,,,,
1907 1,,柳ヶ浦高校前,,33.5566904,131.3581637,1907 1,,0,,,,
1907 2,,柳ヶ浦高校前,,33.5567665,131.3580288,1907 2,,0,,,,
1908 1,,木原入口,,33.5661935,131.222187,1908 1,,0,,,,
1926 1,,前田,,33.5276683,131.3687284,1926 1,,0,,,,
1926 2,,前田,,33.52776,131.3686681,1926 2,,0,,,,
1927 0,,下浜中,,33.6844752,131.5987305,1927 0,,0,,,,
1927 1,,下浜中,,33.6844752,131.5985803,1927 1,,0,,,,
1928 1,,国見郵便局前,,33.6816571,131.5972973,1928 1,,0,,,,
1928 2,,国見郵便局前,,33.6817486,131.5972544,1928 2,,0,,,,
1933 1,,済生会,,33.3453208,130.9416307,1933 1,,0,,,,
1942 1,,小楠,,33.5956418,131.2051871,1942 1,,0,,,,
1942 2,,小楠,,33.5955748,131.205171,1942 2,,0,,,,
195 1,,保健福祉センター,,33.4391604,131.354704,195 1,,0,,,,
195 2,,保健福祉センター,,33.4390395,131.3546369,195 2,,0,,,,
1954 1,,駅前公民館前,,33.5642841,131.3224249,1954 1,,0,,,,
196 1,,安心院農協前,,33.4382449,131.3570768,196 1,,0,,,,
196 2,,安心院農協前,,33.4381789,131.3570406,196 2,,0,,,,
197 1,,中荘,,33.4349398,131.3670705,197 1,,0,,,,
198 1,,上荘,,33.4326617,131.3711918,198 1,,0,,,,
1981 1,,イオン三光,,33.5572195,131.1919243,1981 1,,0,,,,
1981 2,,イオン三光,,33.5572307,131.1918036,1981 2,,0,,,,
1983 1,,中津検診センター,,33.5624774,131.1974102,1983 1,,0,,,,
1983 2,,中津検診センター,,33.5624707,131.1972385,1983 2,,0,,,,
1984 1,,イオン三光東口,,33.5592708,131.1948135,1984 1,,0,,,,
1984 2,,イオン三光東口,,33.559187,131.1946512,1984 2,,0,,,,
199 1,,戸方,,33.4237381,131.376503,199 1,,0,,,,
1992 1,,安岐町役場前,,33.4663265,131.6922016,1992 1,,0,,,,
1992 2,,安岐町役場前,,33.4663355,131.6920836,1992 2,,0,,,,
200 1,,岡,,33.420191,131.3798204,200 1,,0,,,,
201 1,,千福,,33.413574,131.381866,201 1,,0,,,,
